usuarioId,peliculaId,puntuacion,fecha,comentario
1,160,3,2022-04-13,Recusandae commodi doloremque voluptatem ratione quidem rem ipsa deserunt porro.
1,78,2,2024-06-03,Quam dolorum aliquam provident nam molestiae laudantium necessitatibus.
1,125,4,2022-03-07,Expedita quasi eius rerum totam mollitia architecto culpa eos ea.
1,76,3,2023-09-29,Iste quod magni quasi sunt nulla facilis nulla.
1,4,2,2022-10-13,Quam omnis molestiae harum minima libero mollitia nostrum.
1,117,1,2024-05-02,Illum eum atque omnis aliquam vel debitis adipisci.
1,11,5,2023-09-01,Laborum atque necessitatibus saepe omnis.
1,73,3,2024-06-13,Numquam nihil aliquid dolore quaerat accusamus ullam omnis unde rerum.
1,32,4,2024-01-03,Reiciendis aperiam nam vel impedit fuga provident reprehenderit eaque.
1,79,3,2024-05-12,Quasi rerum aspernatur dolor maxime.
1,2,5,2023-05-12,Quam minus deleniti minima dolorum.
2,76,1,2022-09-06,Veniam nam nam quia quisquam nemo perferendis praesentium incidunt aut recusandae.
2,14,4,2023-02-24,Illo excepturi culpa voluptatum ipsam explicabo et voluptatibus eveniet fuga.
2,194,2,2022-10-07,Repudiandae eum dolores molestias fugiat mollitia quia facere iste.
2,33,2,2022-01-14,A alias eligendi accusamus consequatur tempora ab voluptates.
2,104,1,2022-08-23,Sequi accusantium reprehenderit porro eius mollitia.
2,172,4,2024-11-30,Necessitatibus nemo atque itaque culpa eaque suscipit dolorum ducimus error.
2,2,1,2022-02-20,Id ullam quasi quam recusandae cupiditate repudiandae porro nemo tenetur.
2,119,2,2022-09-07,Odit alias repellat fugit quod ullam ex sunt ipsa ut.
2,133,5,2023-04-27,Sit dolorem officiis nobis accusamus quod.
2,198,2,2022-09-10,Amet minima eum natus eveniet possimus corrupti perferendis.
2,22,2,2022-10-18,Voluptas quidem nemo at inventore ratione corporis excepturi.
2,15,4,2024-11-13,Nemo aliquid id assumenda magnam quo consectetur consequatur nam.
2,70,5,2024-09-10,Hic necessitatibus natus voluptatum minima doloribus eaque inventore placeat.
2,167,4,2024-10-06,At perferendis incidunt expedita eum nisi ad esse voluptates nulla.
2,86,5,2022-10-31,Numquam ipsam unde doloremque placeat culpa quas assumenda qui.
2,153,5,2024-03-08,Veniam unde sit reprehenderit accusamus possimus beatae.
3,90,2,2024-09-17,Iusto ex qui distinctio molestias quibusdam molestias numquam voluptatibus.
3,181,2,2024-11-04,Fugiat temporibus minima ducimus.
3,135,5,2023-10-26,Eligendi ratione nulla amet omnis.
3,100,2,2024-04-06,Architecto optio optio totam.
3,132,4,2023-04-20,Sint accusantium sint officiis doloremque fugit voluptate aut.
3,168,1,2024-02-26,Laborum nisi at dicta vitae natus quae aliquam.
4,157,1,2024-06-23,Esse laudantium quia accusantium placeat explicabo esse voluptatum voluptatem eius.
4,65,4,2022-12-23,Numquam soluta tempora repellendus adipisci.
4,10,3,2023-02-14,Veniam dolorem exercitationem hic consequatur quas maxime perspiciatis sit placeat.
4,192,5,2023-04-07,Dolores corrupti voluptas tenetur eveniet molestiae dignissimos consequuntur molestiae.
4,19,1,2023-01-29,Similique est provident minima consequatur voluptatum.
5,36,5,2024-08-28,Omnis natus culpa architecto minus quaerat.
5,2,4,2022-10-10,Et sunt quas quisquam sunt impedit.
5,93,5,2022-05-26,Esse quia reprehenderit odio qui corrupti deleniti consectetur.
5,199,1,2023-09-03,Quis nostrum eaque necessitatibus doloremque.
5,140,2,2023-05-30,Doloremque ad aspernatur quod consequatur sapiente iusto.
5,19,5,2023-08-13,Delectus harum labore cum dolorem illum voluptas unde.
5,88,5,2024-10-21,Dolore perferendis dicta dignissimos debitis veritatis ipsa nulla.
6,8,5,2022-05-08,Sint suscipit incidunt quod non repudiandae quam hic.
6,9,4,2022-03-14,Nisi minima soluta ratione maxime iste repudiandae aliquam voluptatum maxime.
6,67,4,2023-07-09,Voluptates aliquam harum quisquam vitae deleniti ipsa sunt.
