usuarioId,peliculaId,fechaVisualizacion,completo
1,75,2024-05-31,true
1,160,2022-04-13,true
1,143,2024-10-25,true
1,171,2022-11-14,false
1,42,2023-07-09,true
1,78,2024-06-03,true
1,125,2022-03-07,true
1,74,2024-05-15,true
1,17,2023-06-20,false
1,76,2023-09-29,true
1,4,2022-10-13,true
1,117,2024-05-02,true
1,11,2023-09-01,true
1,56,2023-01-11,true
1,73,2024-06-13,true
1,152,2024-10-28,false
1,32,2024-01-03,true
1,14,2024-04-20,true
1,126,2022-02-24,false
1,79,2024-05-12,true
1,2,2023-05-12,true
2,145,2024-09-13,true
2,76,2022-09-06,true
2,14,2023-02-24,true
2,194,2022-10-07,true
2,101,2023-09-09,true
2,33,2022-01-14,true
2,104,2022-08-23,true
2,172,2024-11-30,true
2,2,2022-02-20,true
2,119,2022-09-07,true
2,133,2023-04-27,true
2,118,2024-06-18,false
2,198,2022-09-10,true
2,22,2022-10-18,true
2,15,2024-11-13,true
2,70,2024-09-10,true
2,167,2024-10-06,true
2,28,2022-08-08,true
2,86,2022-10-31,true
2,153,2024-03-08,true
2,25,2024-06-29,true
2,75,2022-10-13,true
3,3,2022-11-07,true
3,41,2023-11-26,true
3,92,2022-10-14,true
3,129,2023-09-13,false
3,54,2022-05-20,false
3,90,2024-09-17,true
3,181,2024-11-04,true
3,135,2023-10-26,true
3,100,2024-04-06,true
3,132,2023-04-20,true
3,17,2023-10-25,true
3,45,2023-04-30,true
3,168,2024-02-26,true
4,157,2024-06-23,true
4,65,2022-12-23,true
4,30,2022-09-30,false
4,10,2023-02-14,true
4,192,2023-04-07,true
4,19,2023-01-29,true
5,9,2024-12-17,true
5,36,2024-08-28,true
5,2,2022-10-10,true
5,93,2022-05-26,true
5,199,2023-09-03,true
5,105,2023-11-09,true
5,146,2023-08-17,false
5,140,2023-05-30,true
5,19,2023-08-13,true
5,88,2024-10-21,true
5,48,2022-08-16,true
6,168,2023-11-07,false
6,8,2022-05-08,true
6,9,2022-03-14,true
6,87,2022-06-15,false
6,108,2024-09-07,false
6,67,2023-07-09,true
6,52,2024-11-05,true
6,86,2023-09-14,true
6,196,2023-04-12,true
6,16,2024-12-30,true
6,36,2024-09-14,true
6,53,2022-09-14,true
6,141,2022-08-25,true
7,91,2022-04-04,false
7,50,2022-01-31,false
7,88,2023-05-27,true
7,112,2024-06-17,true
7,15,2023-05-16,false
7,61,2022-09-23,true
7,60,2022-06-07,true
7,24,2023-02-26,true
7,151,2024-01-02,false
7,3,2023-03-28,true
7,59,2023-08-23,false
7,106,2023-05-16,true
7,192,2024-10-28,true
7,193,2024-09-22,true
7,138,2024-12-02,true
7,146,2023-03-08,true
8,10,2024-10-18,true
8,61,2024-02-26,true
8,179,2022-05-03,true
8,113,2022-02-08,false
8,167,2024-02-27,true
8,196,2023-01-13,true
8,117,2022-03-06,true
8,30,2023-11-20,false
8,6,2023-06-22,true
9,186,2024-08-07,true
9,160,2024-11-28,true
9,112,2024-08-15,true
9,110,2022-09-28,false
9,187,2023-07-29,true
9,189,2022-06-25,false
9,193,2023-08-29,true
9,15,2023-07-16,true
9,28,2022-01-26,true
9,142,2023-06-26,true
9,100,2024-06-19,true
9,185,2024-09-10,true
9,174,2022-04-30,true
9,74,2023-10-06,false
9,137,2024-06-21,true
10,67,2023-01-13,true
10,127,2023-10-12,true
10,33,2022-05-05,false
10,59,2023-06-15,false
10,162,2022-02-03,true
10,45,2023-12-25,true
10,38,2023-12-18,true
10,159,2024-11-12,true
10,168,2024-01-31,true
10,13,2024-05-23,false
10,60,2022-10-21,true
10,30,2023-11-18,false
10,10,2024-02-07,true
11,8,2024-02-20,true
11,42,2023-04-05,true
11,95,2024-05-06,true
11,12,2022-04-16,true
11,75,2024-06-22,true
11,39,2023-08-24,false
11,152,2023-11-05,true
11,7,2024-01-12,true
11,28,2023-05-09,true
11,156,2024-04-19,true
11,55,2022-06-06,false
11,81,2024-09-18,true
11,131,2023-04-16,true
11,184,2022-09-14,false
11,188,2023-05-17,true
11,149,2022-10-10,true
11,183,2023-12-01,true
11,89,2024-10-31,false
11,56,2024-10-09,true
11,97,2023-01-04,false
11,150,2022-02-01,true
11,9,2024-08-20,true
11,169,2024-06-02,true
11,195,2022-09-29,true
12,91,2023-12-28,false
12,33,2024-04-17,true
12,103,2024-06-11,true
12,179,2023-01-11,true
12,143,2022-06-21,true
12,62,2024-01-28,true
12,183,2024-06-17,true
12,76,2023-07-27,false
12,31,2022-07-18,true
12,87,2024-11-26,false
12,152,2024-11-06,true
12,156,2024-02-26,true
12,158,2022-03-27,true
12,28,2023-03-08,true
12,185,2023-10-06,true
12,12,2023-08-13,true
12,19,2023-08-14,false
12,190,2023-06-16,false
13,60,2022-12-12,true
13,171,2023-02-04,true
13,72,2022-02-22,true
13,37,2024-05-23,true
13,25,2023-08-28,false
13,53,2022-09-03,true
13,142,2022-06-27,false
13,131,2023-07-25,true
14,191,2023-11-18,true
14,57,2022-06-01,true
14,187,2024-06-06,true
14,20,2024-12-03,true
14,84,2022-03-14,false
14,41,2022-01-17,true
14,130,2023-02-05,true
15,73,2023-06-23,true
15,34,2023-12-16,true
15,51,2023-09-07,true
15,163,2024-09-20,true
15,23,2024-01-02,true
15,133,2022-08-19,false
15,186,2023-08-12,true
15,192,2024-05-20,true
15,55,2022-08-21,true
15,1,2024-09-17,true
15,112,2024-04-23,true
15,18,2024-11-05,true
15,126,2024-04-17,true
15,143,2023-06-20,true
15,157,2024-05-20,true
15,54,2023-07-04,true
15,182,2023-09-24,true
15,46,2023-02-27,true
15,10,2023-11-07,true
15,108,2024-02-16,true
16,197,2024-02-05,true
16,142,2022-01-28,true
16,17,2022-07-29,true
16,168,2022-03-28,true
16,13,2023-05-22,true
16,133,2024-02-13,true
16,54,2022-06-23,true
16,93,2022-02-11,true
16,138,2022-11-07,true
16,51,2023-02-02,true
